layer,ranking,movie_id,movie_name,cluster_name,character_score,release_score,rating_score,total_score
2,0,5586056082,Surviving the Wild,animal,1.000000,5.000000,1.240000,7.24
2,1,914575870,Marley & Me,animal,2.000000,1.000000,1.420000,4.42
2,2,908087170,50 to 1,animal,1.000000,2.000000,1.320000,4.32
2,3,906668270,The Amazing Spider-Man 2,animal,1.000000,2.000000,1.320000,4.32
2,4,915714824,Dr. Dolittle,animal,1.000000,1.000000,1.080000,3.08
2,0,3195628081,Peter Rabbit,animal,2.000000,5.000000,1.320000,8.32
2,1,5830189854,Benji,animal,2.000000,5.000000,1.280000,8.28
2,2,3493741119,Show Dogs,animal,2.000000,5.000000,0.700000,7.7
2,3,4587051891,The Horse Dancer,animal,1.000000,5.000000,0.920000,6.92
2,4,1357199203,The Adventures of Pepper and Paula,animal,2.000000,3.000000,1.380000,6.38
2,5,1065094665,Max,animal,2.000000,3.000000,1.360000,6.36
2,6,1381083925,Pete's Dragon,animal,2.000000,3.000000,1.340000,6.34
2,7,1352079598,A Girl's Best Friend,animal,2.000000,3.000000,1.320000,6.32
2,8,3283950291,Rescue Dogs,animal,2.000000,3.000000,1.200000,6.2
2,0,4043665651,Isle of Dogs,animal,2.000000,5.000000,1.600000,8.6
2,1,1636804759,Huevos: Little Rooster's Egg-cellent Adventure,animal,2.000000,3.000000,1.160000,6.16
2,0,906863827,Ferdinand,animal,2.000000,5.000000,1.340000,8.34
2,1,2038104917,My Little Pony: The Movie,animal,2.000000,5.000000,1.220000,8.22
2,2,1064930444,The Nut Job 2: Nutty by Nature,animal,2.000000,5.000000,1.080000,8.08
2,3,3562742415,Early Man,animal,1.000000,5.000000,1.220000,7.22
2,4,906837702,Shaun the Sheep Movie,animal,2.000000,3.000000,1.480000,6.48
2,5,907784531,Finding Dory,animal,2.000000,3.000000,1.460000,6.46
2,6,903622406,The Peanuts Movie,animal,2.000000,3.000000,1.420000,6.42
2,7,2012569545,Sing,animal,2.000000,3.000000,1.420000,6.42
2,8,1520991455,Storks,animal,2.000000,3.000000,1.360000,6.36
2,0,1064822834,Spider-Man 2,superhero-star war,2.000000,1.000000,1.460000,4.46
2,1,4143100030,Spider-Man,superhero-star war,2.000000,1.000000,1.460000,4.46
2,2,915717140,Spider-Man 3,superhero-star war,2.000000,1.000000,1.240000,4.24
2,0,916674873,Superman,superhero-star war,2.000000,1.000000,1.460000,4.46
2,1,914104982,Rainbow Brite and the Star Stealer,superhero-star war,2.000000,1.000000,1.380000,4.38
2,2,915565237,Teenage Mutant Ninja Turtles,superhero-star war,2.000000,1.000000,1.340000,4.34
2,3,908029927,Sky High,superhero-star war,2.000000,1.000000,1.240000,4.24
2,0,5788135152,Batman Ninja,superhero-star war,2.000000,5.000000,1.140000,8.14
2,0,1064822848,The Incredibles,superhero-star war,2.000000,1.000000,1.600000,4.6
2,1,916196624,Batman: Mask of the Phantasm,superhero-star war,2.000000,1.000000,1.580000,4.58
