layer,ranking,movie_id,movie_name,cluster_name,character_score,release_score,rating_score,total_score
2,0,908087170,50 to 1,animal,1.000000,2.000000,3.300000,6.300000000000001
2,1,906668270,The Amazing Spider-Man 2,animal,1.000000,2.000000,3.300000,6.300000000000001
2,2,5586056082,Surviving the Wild,animal,1.000000,2.000000,3.100000,6.1
2,3,914575870,Marley & Me,animal,2.000000,0.000000,3.550000,5.550000000000001
2,4,915714824,Dr. Dolittle,animal,1.000000,0.000000,2.700000,3.7
2,0,1357199203,The Adventures of Pepper and Paula,animal,2.000000,2.000000,3.450000,7.45
2,1,1065094665,Max,animal,2.000000,2.000000,3.400000,7.4
2,2,1381083925,Pete's Dragon,animal,2.000000,2.000000,3.350000,7.35
2,3,1352079598,A Girl's Best Friend,animal,2.000000,2.000000,3.300000,7.300000000000001
2,4,3195628081,Peter Rabbit,animal,2.000000,2.000000,3.300000,7.300000000000001
2,5,904519496,Dolphin Tale 2,animal,2.000000,2.000000,3.200000,7.2
2,6,5830189854,Benji,animal,2.000000,2.000000,3.200000,7.2
2,7,3283950291,Rescue Dogs,animal,2.000000,2.000000,3.000000,7.0
2,8,907791020,My Dog the Champion,animal,2.000000,1.000000,3.600000,6.6
2,9,1068550523,Animals Are Beautiful People,animal,2.000000,0.000000,4.150000,6.15
2,10,907994469,Night at the Museum: Secret of the Tomb,animal,1.000000,2.000000,3.100000,6.1
2,11,3453094353,Emma's Chance,animal,1.000000,2.000000,3.100000,6.1
2,12,4691995289,The Wizard of Oz,animal,2.000000,0.000000,4.000000,6.0
2,13,915377071,Harvey,animal,2.000000,0.000000,4.000000,6.0
2,14,916683054,Mr. Popper's Penguins,animal,2.000000,1.000000,3.000000,6.0
2,15,905884839,Wiener Dog Nationals,animal,2.000000,1.000000,3.000000,6.0
2,16,908574749,Derby Dogs,animal,2.000000,1.000000,2.950000,5.95
2,17,1973088754,Rodeo Girl,animal,1.000000,2.000000,2.900000,5.9
2,18,907378731,12 Christmas Wishes for My Dog,animal,2.000000,1.000000,2.850000,5.85
2,19,915988655,The Bear,animal,2.000000,0.000000,3.850000,5.85
2,20,913618508,The Secret of NIMH,animal,2.000000,0.000000,3.800000,5.800000000000001
2,21,914429308,Robin Hood,animal,2.000000,0.000000,3.800000,5.800000000000001
2,22,914798166,Hop,animal,2.000000,1.000000,2.750000,5.75
2,23,915155684,The African Lion,animal,2.000000,0.000000,3.750000,5.75
2,24,3493741119,Show Dogs,animal,2.000000,2.000000,1.750000,5.75
2,25,914468749,The Black Stallion,animal,2.000000,0.000000,3.700000,5.7
2,26,1499453833,Molly Moon and the Incredible Book of Hypnotism,animal,1.000000,2.000000,2.700000,5.7
2,27,915588500,Old Yeller,animal,2.000000,0.000000,3.650000,5.65
